CameraName,id
Nguyễn Thị Minh Khai - Nguyễn Bỉnh Khiêm,5efd50f3942cda00169edf63
Đinh Tiên Hoàng - Nguyễn Đình Chiểu,5deb576d1dc17d7c5515ad06
Điện Biên Phủ - Đinh Tiên Hoàng,5deb576d1dc17d7c5515ad05
Đinh Tiên Hoàng - Võ Thị Sáu 1,5a823e425058170011f6eaa4
Tôn Đức Thắng - Lê Duẩn, 58af9a07bd82540010390c3b
Nguyễn Hữu Cảnh - Nguyễn Bỉnh Khiêm,58af99abbd82540010390c39
Võ Thị Sáu - Hai Bà Trưng,5deb576d1dc17d7c5515ad01
Hai Bà Trưng - Lý Chính Thắng, 5deb576d1dc17d7c5515acff
Đinh Tiên Hoàng - Võ Thị Sáu 2,5a8241105058170011f6eaa6
Lê Văn Duyệt - Vũ Huy Tấn,5fcdda1ba461de0016333567
Xô Viết Nghệ Tĩnh - Phan Văn Hân,5fcdd989a461de0016333561
Xô Viết Nghệ Tĩnh - Nguyễn Văn Lạc,5fcdd9cba461de0016333564
Nguyễn Hữu Cảnh - Ngô Tất Tố 1,587470c2b807da0011e33ce4
Nguyễn Hữu Cảnh - Ngô Tất Tố 2,5fcdd89fa461de0016333558
Nguyễn Hữu Cảnh - Ngô Tất Tố 3, 5fcdd8e7a461de001633355b
Nút Giao Hàng Xanh 2 (ĐH Hồng Bàng),5d9dddb9766c880017188c96
Nút Giao Hàng Xanh 6 (Cầu Điện Biên Phủ - Hàng Xanh),5d9ddf0f766c880017188c9e
Nút Giao Hàng Xanh 3 (Cầu Thị Nghè - Hàng Xanh),5d9dde1f766c880017188c98
Nút Giao Hàng Xanh 1 (Viện Máy Tính),5d9ddd49766c880017188c94
Nút Giao Hàng Xanh 8 (Hàng Xanh - Cầu Văn Thánh),5b0e1faacddcc80011ceb449
Nút Giao Hàng Xanh 7 (Hàng Xanh - Cầu Văn Thánh),5d9ddf49766c880017188ca0
Nút Giao Hàng Xanh 5 (Hàng Xanh - Bạch Đằng),5d9ddec9766c880017188c9c
Đinh Bộ Lĩnh - Bạch Đằng 2,5a8253bc5058170011f6eac1
Đinh Bộ Lĩnh - Bạch Đằng 3, 5a606a958576340017d06621
Đinh Bộ Lĩnh- Bạch Đằng 1,5a8253615058170011f6eabf
Nguyễn Hữu Cảnh - Ngô Tất Tố 3,5fcdd8e7a461de001633355b
Điện Biên Phủ - Nguyễn Văn Thương,587c79e9b807da0011e33d3d
Điện Biên Phủ - Nguyễn Hữu Cảnh,5a606dbc8576340017d0662b
Cầu Sài Gòn 11 (Chân cầu Quận Bình Thạnh),5fcdd5b0a461de0016333548
Ung Văn Khiêm - Nguyễn Văn Thương,5fcdda80a461de001633356a
Ung Văn Khiêm - Nguyễn Gia Trí,586e2995f9fab7001111b0b5
Xô Viết Nghệ Tĩnh - Đường D5,5fcdd93fa461de001633355e
Đinh Bộ Lĩnh - Nguyễn Xí,5a8256315058170011f6eac9
Quốc Lộ 13 - BX Miền Đông 1,5a606c758576340017d06626
Đinh Bộ Lĩnh - BX Miền Đông 1, 5a8255a55058170011f6eac7
Quốc Lộ 13 - BX Miền Đông 2,5a8256df5058170011f6eacb
Nơ Trang Long - Nguyễn Xí,5a606a0f8576340017d0661e
Cầu Sài Gòn 10 (Quận Bình Thạnh),5fcdd514a461de0016333546
Cầu Sài Gòn 9 (Quận Bình Thạnh),5fcdd3fca461de001633353f
